variable_name,datasets_involved,conflict_type,evidence,proposed_change,risk_note
pc11_pca_main_al_f,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_main_al_m,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_main_al_p,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_main_cl_f,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_main_cl_m,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_main_cl_p,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_main_hh_f,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_main_hh_m,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_main_hh_p,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_main_ot_f,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_main_ot_m,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_main_ot_p,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_mainwork_f,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_mainwork_m,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_mainwork_p,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_marg_al03_p,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_marg_al36_f,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_marg_al36_m,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_marg_al36_p,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_marg_al_f,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_marg_al_m,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_marg_al_p,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_marg_cl36_p,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_marg_cl_p,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_marg_hh36_p,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_marg_hh_p,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_marg_ot03_m,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_marg_ot03_p,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_marg_ot36_f,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_marg_ot36_m,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_marg_ot36_p,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_marg_ot_f,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_marg_ot_m,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_marg_ot_p,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_margwork03_f,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_margwork03_m,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_margwork03_p,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_margwork36_f,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_margwork36_m,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_margwork36_p,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_margwork_f,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_margwork_m,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_margwork_p,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_no_hh,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_non_work_f,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_non_work_m,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_non_work_p,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | long (pc11r_pca_clean.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_p_06,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_p_ill,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_p_lit,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | long (pc11r_pca_clean.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_p_sc,pc11_pdf_shrid_key.dta; pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11_pdf_shrid_key.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_p_st,pc11_pdf_shrid_key.dta; pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | long (pc11_pdf_shrid_key.dta; pc11r_pca_clean.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_tot_f,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_tot_m,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | long (pc11r_pca_clean.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_tot_p,pc11_pdf_shrid_key.dta; pc11r_pca_clean.dta; pc11u_pca_clean.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta; shrug_pc11_pca.dta,naming,storage_type: double (segregation_citydata_rural_200.dta) | float (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta; shrug_pc11_pca.dta; shrug_pc11_pca.dta) | long (pc11_pdf_shrid_key.dta; pc11r_pca_clean.dta; pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_tot_work_f,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_tot_work_m,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_tot_work_p,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_state_id,pc11_pdf_shrid_key.dta; pc11r_pca_clean.dta; pc11r_subdistrict_social_group.dta; pc11u_pca_clean.dta; pc11u_town_social_group.dta; seg_correlates.dta; segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta; shrug_pc11_state_key.dta; shrug_pc11_subdistrict_key.dta,naming,storage_type: str2 (pc11_pdf_shrid_key.dta; pc11r_pca_clean.dta; pc11r_subdistrict_social_group.dta; pc11u_pca_clean.dta; pc11u_town_social_group.dta; seg_correlates.dta; segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta; shrug_pc11_state_key.dta; shrug_pc11_subdistrict_key.dta) | str5 (segregation_cityd...,Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_vd_all_hosp,segregation_citydata_rural_200.dta; shrug_pc11_vd.dta,naming,storage_type: double (segregation_citydata_rural_200.dta) | int (shrug_pc11_vd.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
